insert into teachers (id, cv_url, level, address, age, salary, other_requirements, phone, avatar, sex, status, name) values
  (1,"https://cv/hmc20qpial","A1","Ba Dinh",25,100000,"完全に学校に行く","0982640564","https://leminhhoang.vn/wp-content/uploads/2023/05/chon-loc-anh-avatar-buon.jpg","female","active","Nguyen Thi Thu"),
  (2,"https://cv/yzaae6yuib","A2","Hoan Kiem",24,80000,"完全に学校に行く","0347376412","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Tran Van Minh"),
  (3,"https://cv/bl6xuxl036","B1","Hai Ba Trung",25,150000,"女子学生のみ受け入れ可能","0912306573","https://toigingiuvedep.vn/wp-content/uploads/2022/11/avatar-dep-nu-cho-con-gai.jpg","female","active","Le Thi Anh"),
  (4,"https://cv/oy8e4uec17","B2","Dong Da",30,120000,"女子学生のみ受け入れ可能","0363683946","https://upanh123.com/wp-content/uploads/2020/12/avatar-nam.jpg","male","active","Pham Duc Trung"),
  (5,"https://cv/dj5zprpi0e","C1","Tay Ho",26,150000,"女子学生のみ受け入れ可能","0969888346","https://anhdephd.vn/wp-content/uploads/2022/02/tai-anh-avatar-dep-hinh-dai-dien-facebook.jpg","female","active","Vu Thi Mai Phuong"),
  (6,"https://cv/mp11vzhdjf","C2","Cau Giay",29,100000,"男子生徒のみ受け入れ可能","0982516983","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZiOs1UwbiYbjcA6S7fTzCYL4E-WrAwiYLG3eCDssLJKTtJLteogeRwAbcmqY0bjGnWGQ&usqp=CAU","male","active","Hoang Trung Hieu"),
  (7,"https://cv/xf8ltn3h0q","A1","Thanh Xuan",23,100000,"男子生徒のみ受け入れ可能","0989116325","https://www.vivosmartphone.vn/uploads/MANGOADS/Selfie%20n%E1%BB%AF/A%20%C4%91%E1%BA%BFn%20Z/3.jpg","male","active","Ngo Viet Bac"),
  (8,"https://cv/m1ikjue1oz","A2","Hoang Mai",28,120000,"男子生徒のみ受け入れ可能","0912906368","https://toanthaydinh.com/wp-content/uploads/2020/04/avatar-dep-trai-10.jpg","male","active","Nguyen Duc Long"),
  (9,"https://cv/0txm8txr0q","B1","Long Bien",32,150000,"男子生徒のみ受け入れ可能","0949336508","https://leminhhoang.vn/wp-content/uploads/2023/05/chon-loc-anh-avatar-buon.jpg","female","active","Bui Xuan Thuy"),
  (10,"https://cv/94t7zzef6j","B2","Bac Tu Liem",24,100000,"男子生徒のみ受け入れ可能","0363598471","https://anhdep123.com/wp-content/uploads/2021/02/anh-hoc-sinh-dep.jpg","male","active","Tran Huy Phuc"),
  (11,"https//cv/XEXnxOpCWy","A1","Nam Tu Liem",25,150000,"女子学生のみ受け入れ可能","0912055371","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam-2k4.jpg","male","active","Nguyen Minh Khai"),
  (12,"https://cv/e5d48KM6l5","A2","Ha Dong",30,100000,"完全に学校に行く","0906318966","https://upanh123.com/wp-content/uploads/2020/12/hinh-anh-cute-nam1.jpg","male","active","Tran Van Dang"),
  (13,"https://cv/mKcmSfevEi","B1","Son Tay",28,150000,"女子学生のみ受け入れ可能","0363455987","https://anhdephd.vn/wp-content/uploads/2022/02/tai-anh-avatar-dep-hinh-dai-dien-facebook.jpg","female","active","Le Thi Hong Nhung"),
  (14,"https://cv/3BttkBfwR2","B2","Ba Vi",26,100000,"完全に学校に行く","0982177035","https://hanoispiritofplace.com/wp-content/uploads/2016/06/trai-dep-chau-au-4.jpg","male","active","Pham Van Tuan"),
  (15,"https://cv/A3HK3slrA9","C1","Phuc Tho",27,120000,"完全に学校に行く","0363559686","https://toigingiuvedep.vn/wp-content/uploads/2022/11/avatar-dep-nu-cho-con-gai.jpg","female","active","Do Thi Hai Yen"),
  (16,"https://cv/qI3KNd2BNJ","C2","Dan Phuong",29,120000,"男子生徒のみ受け入れ可能","0912067888","https://toigingiuvedep.vn/wp-content/uploads/2022/11/avatar-dep-nu-cho-con-gai.jpg","female","active","Vu Thi Thu Ha"),
  (17,"https://cv/oxTo8qMjq1","A1","Hoai Duc",23,100000,"女子学生のみ受け入れ可能","0906318364","https://toanthaydinh.com/wp-content/uploads/2020/04/avatar-dep-trai-10.jpg","male","active","Hoang Van Tung"),
  (18,"https://cv/Z5qnmMflhs","A2","Thach That",25,100000,"完全に学校に行く","0906358156","https://antimatter.vn/wp-content/uploads/2022/04/avatar-doi-nguoi-that-ngau-cho-nam.jpg","male","active","Ngo Thanh Tung"),
  (19,"https://cv/AXGPZQ4heG","B1","Quoc Oai",26,120000,"男子生徒のみ受け入れ可能","0363662179","https://anhdephd.vn/wp-content/uploads/2022/02/tai-anh-avatar-dep-hinh-dai-dien-facebook.jpg","female","active","Bui Thi Thu Huong"),
  (20,"https://cv/eI3kb8kYXY","B2","Chuong My",29,100000,"完全に学校に行く","0982311569","https://i.bloganchoi.com/bloganchoi.com/wp-content/uploads/2022/09/avatar-buon-2022-108.jpg?fit\u003d636%2C20000\u0026quality\u003d95\u0026ssl\u003d1","female","active","Ly Thi Mai Anh"),
  (21,"https://cv/kh7CDrPGqb","C1","Thanh Oai",24,150000,"女子学生のみ受け入れ可能","0363549117","https://toanthaydinh.com/wp-content/uploads/2020/04/avatar-dep-trai-10.jpg","male","active","Tran Thanh Tam"),
  (22,"https://cv/mmtp2eH9PI","C2","Thuong Tin",25,100000,"男子生徒のみ受け入れ可能","0906382563","https://thegioimay.org/wp-content/uploads/2020/11/57358127_1290006087821185_714335095200153600_n.jpg","male","active","Nguyen Van Hieu"),
  (23,"https://cv/KDrSDmjp2m","A1","Phu Xuyen",26,100000,"完全に学校に行く","0363982661","https://leminhhoang.vn/wp-content/uploads/2023/05/chon-loc-anh-avatar-buon.jpg","female","active","Phan Thi Thu Hien"),
  (24,"https://cv/LwYyznzu6u","A2","Me Linh",23,120000,"完全に学校に行く","0982301446","https://thegioimay.org/wp-content/uploads/2020/11/57358127_1290006087821185_714335095200153600_n.jpg","male","active","Dang Van Hung"),
  (25,"https://cv/p2i3Zl95oU","B1","Dong Anh",28,80000,"女子学生のみ受け入れ可能","0982306118","https://leminhhoang.vn/wp-content/uploads/2023/05/chon-loc-anh-avatar-buon.jpg","female","active","Le Thi Kim Ngan"),
  (26,"https://cv/bXVJBmCt4O","B2","Gia Lam",27,120000,"完全に学校に行く","0906102456","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam.jpg","male","active","Tran Van Nam"),
  (27,"https://cv/Ak60s1qhrW","A1","Soc Son",32,100000,"完全に学校に行く","0906782301","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam-2k4.jpg","male","active","Nguyen Thi Thu Ha"),
  (28,"https://cv/9DRBCtkXGa","A2","Thanh Tri",30,100000,"完全に学校に行く","0306559101","https://upanh123.com/wp-content/uploads/2020/12/hinh-anh-cute-nam1.jpg","male","active","Pham Van Dung"),
  (29,"https://cv/v0lw6pJHUM","B1","My Duc",29,120000,"完全に学校に行く","0363998203","https://anhdep123.com/wp-content/uploads/2021/02/hinh-anh-trai-dep-dau-nam.jpg","male","active","Dang Thanh Hai"),
